ID_1,Recognized_2021_s,Recognized_2020_s,Comparison_Recognized_s,Comparison_Recognized(%)_s,Arrested_2021_s,Arrested_2020_s,Comparison_Arrested_s,Comparison_Arrested(%)_s,Arrested_Headcount_2021_s,Arrested_Headcount_2020_s,Comparison_Headcount_s,Comparison_Headcount(%)_s,Arrested_Rate_2021_s,Arrested_Rate_2020_s,Comparison_Rate_Point(%)_s
12,11115,11444,-329,-2.9,5731,5813,-82,-1.4,3213,3267,-54,-1.7,51.6,50.8,0.8
3,1913,2244,-331,-14.8,1214,1380,-166,-12,726,820,-94,-11.5,63.5,61.5,2
16,1738,1730,8,0.5,1101,1026,75,7.3,636,645,-9,-1.4,63.3,59.3,4
24,6002,6564,-562,-8.6,2727,3284,-557,-17,1297,1446,-149,-10.3,45.4,50,-4.6
2,1351,1679,-328,-19.5,1027,1167,-140,-12,640,670,-30,-4.5,76,69.5,6.5
45,1946,1959,-13,-0.7,1543,1668,-125,-7.5,616,675,-59,-8.7,79.3,85.1,-5.8
8,4574,5276,-702,-13.3,2214,2908,-694,-23.9,1158,1162,-4,-0.3,48.4,55.1,-6.7
41,48220,55226,-7006,-12.7,16687,18405,-1718,-9.3,8718,9979,-1261,-12.6,34.6,33.3,1.3
14,10613,12191,-1578,-12.9,3967,4264,-297,-7,1470,1605,-135,-8.4,37.4,35,2.4
39,6689,6820,-131,-1.9,2690,3622,-932,-25.7,1055,1131,-76,-6.7,40.2,53.1,-12.9
10,6192,6684,-492,-7.4,3114,3306,-192,-5.8,1300,1425,-125,-8.8,50.3,49.5,0.8
35,27979,30809,-2830,-9.2,9339,10660,-1321,-12.4,4630,5202,-572,-11,33.4,34.6,-1.2
4,23715,24881,-1166,-4.7,8108,8221,-113,-1.4,4085,4116,-31,-0.8,34.2,33,1.2
19,23970,25556,-1586,-6.2,11761,11607,154,1.3,5878,5914,-36,-0.6,49.1,45.4,3.7
29,5136,5601,-465,-8.3,3119,3229,-110,-3.4,1377,1473,-96,-6.5,60.7,57.7,3
47,1935,2234,-299,-13.4,1049,1118,-69,-6.2,504,591,-87,-14.7,54.2,50,4.2
26,4188,4992,-804,-16.1,2479,3062,-583,-19,1066,1113,-47,-4.2,59.2,61.3,-2.1
38,9181,9922,-741,-7.5,4802,4738,64,1.4,2427,2565,-138,-5.4,52.3,47.8,4.5
43,3014,2908,106,3.6,2050,1691,359,21.2,723,766,-43,-5.6,68,58.1,9.9
15,2491,2622,-131,-5,1738,1802,-64,-3.6,768,703,65,9.2,69.8,68.7,1.1
6,1849,1790,59,3.3,1489,1223,266,21.7,500,550,-50,-9.1,80.5,68.3,12.2
9,6075,6829,-754,-11,3620,2681,939,35,1438,1396,42,3,59.6,39.3,20.3
1,24649,26116,-1467,-5.6,8186,8823,-637,-7.2,5799,6060,-261,-4.3,33.2,33.8,-0.6
23,5140,6106,-966,-15.8,2259,2486,-227,-9.1,1010,1059,-49,-4.6,43.9,40.7,3.2
36,3696,4172,-476,-11.4,1872,1641,231,14.1,1006,1048,-42,-4,50.6,39.3,11.3
22,7153,8259,-1106,-13.4,2958,3147,-189,-6,1806,1855,-49,-2.6,41.4,38.1,3.3
33,45105,49390,-4285,-8.7,10234,10385,-151,-1.5,6158,6535,-377,-5.8,22.7,21,1.7
13,18313,21110,-2797,-13.2,7376,8598,-1222,-14.2,4390,4617,-227,-4.9,40.3,40.7,-0.4
28,3393,3834,-441,-11.5,2436,2381,55,2.3,1194,1172,22,1.9,71.8,62.1,9.7
44,2033,2500,-467,-18.7,1400,1268,132,10.4,734,693,41,5.9,68.9,50.7,18.2
42,1323,1244,79,6.4,958,905,53,5.9,524,489,35,7.2,72.4,72.7,-0.3
37,1218,1303,-85,-6.5,906,912,-6,-0.7,381,420,-39,-9.3,74.4,70,4.4
31,4998,5323,-325,-6.1,2157,2190,-33,-1.5,1242,1273,-31,-2.4,43.2,41.1,2.1
11,6997,7476,-479,-6.4,3567,3708,-141,-3.8,2074,2153,-79,-3.7,51,49.6,1.4
46,2445,2764,-319,-11.5,1476,1743,-267,-15.3,935,1031,-96,-9.3,60.4,63.1,-2.7
40,1656,1744,-88,-5,773,1020,-247,-24.2,476,434,42,9.7,46.7,58.5,-11.8
17,2267,2926,-659,-22.5,1320,1596,-276,-17.3,707,763,-56,-7.3,58.2,54.5,3.7
5,3944,4400,-456,-10.4,2239,2260,-21,-0.9,1057,1064,-7,-0.7,56.8,51.4,5.4
20,2016,1862,154,8.3,1002,995,7,0.7,532,480,52,10.8,49.7,53.4,-3.7
7,17484,17836,-352,-2,7836,8917,-1081,-12.1,3962,3936,26,0.7,44.8,50,-5.2
34,1911,2155,-244,-11.3,1394,1415,-21,-1.5,644,590,54,9.2,72.9,65.7,7.2
27,1786,1732,54,3.1,1200,1209,-9,-0.7,859,842,17,2,67.2,69.8,-2.6
21,3403,3375,28,0.8,2047,2458,-411,-16.7,1200,1185,15,1.3,60.2,72.8,-12.6
30,1762,1896,-134,-7.1,1042,907,135,14.9,603,600,3,0.5,59.1,47.8,11.3
25,2409,2592,-183,-7.1,1108,1226,-118,-9.6,597,642,-45,-7,46,47.3,-1.3
18,3201,3505,-304,-8.7,1730,1646,84,5.1,967,940,27,2.9,54,47,7
32,3581,3710,-129,-3.5,1971,1976,-5,-0.3,1278,1369,-91,-6.6,55,53.3,1.7
