ID_1,Security_experience,Police_reliability
12,3.69,3.45
3,3.86,3.59
16,3.89,3.64
24,3.69,3.44
2,4.02,3.71
45,4.04,3.73
8,3.78,3.79
41,3.7,3.58
14,3.54,3.68
39,3.76,3.5
10,3.67,3.48
35,3.51,3.34
4,3.41,3.26
19,3.66,3.21
29,3.89,3.56
47,3.77,3.74
26,3.89,3.58
38,3.8,3.51
43,3.81,3.47
15,3.88,3.55
6,3.99,3.64
9,3.73,3.59
1,3.42,3.27
23,3.63,3.47
36,3.68,3.5
22,3.52,3.49
33,3.38,3.25
13,3.67,3.48
28,3.66,3.46
44,3.78,3.62
42,3.95,3.53
37,4.03,3.48
31,3.63,3.37
11,3.65,3.46
46,3.81,3.42
40,3.86,3.5
17,3.62,3.42
5,3.85,3.48
20,3.84,3.43
7,3.5,3.38
34,3.81,3.35
27,3.92,3.6
21,3.88,3.7
30,3.82,3.63
25,3.91,3.56
18,3.83,3.62
32,3.73,3.61
